Id,Store,DayOfWeek,Date,Customers,Open,Promo,StateHoliday,SchoolHoliday
322533,166,2,2014-09-30,950,1,1,0,0
322534,167,2,2014-09-30,1398,1,1,0,0
322535,168,2,2014-09-30,886,1,1,0,0
322537,170,2,2014-09-30,720,1,1,0,0
322538,171,2,2014-09-30,1131,1,1,0,0
322539,173,2,2014-09-30,1270,1,1,0,0
322541,176,2,2014-09-30,826,1,1,0,0
322542,177,2,2014-09-30,673,1,1,0,0
322543,178,2,2014-09-30,1176,1,1,0,0
322545,180,2,2014-09-30,935,1,1,0,0
322546,182,2,2014-09-30,474,1,1,0,0
322547,184,2,2014-09-30,721,1,1,0,0
322549,187,2,2014-09-30,962,1,1,0,0
322550,188,2,2014-09-30,509,1,1,0,0
322551,189,2,2014-09-30,909,1,1,0,0
322553,194,2,2014-09-30,469,1,1,0,0
322554,195,2,2014-09-30,1493,1,1,0,0
322555,196,2,2014-09-30,949,1,1,0,0
322556,197,2,2014-09-30,947,1,1,0,0
322557,198,2,2014-09-30,665,1,1,0,0
322560,201,2,2014-09-30,469,1,1,0,0
322561,202,2,2014-09-30,567,1,1,0,0
322562,203,2,2014-09-30,986,1,1,0,0
322563,205,2,2014-09-30,1003,1,1,0,0
322564,206,2,2014-09-30,1145,1,1,0,0
322565,207,2,2014-09-30,1549,1,1,0,0
322566,208,2,2014-09-30,485,1,1,0,0
322570,212,2,2014-09-30,541,1,1,0,0
322571,213,2,2014-09-30,881,1,1,0,0
322572,214,2,2014-09-30,787,1,1,0,0
322573,216,2,2014-09-30,1094,1,1,0,0
322574,217,2,2014-09-30,763,1,1,0,0
322576,220,2,2014-09-30,762,1,1,0,0
322578,222,2,2014-09-30,678,1,1,0,0
322579,223,2,2014-09-30,995,1,1,0,0
322580,224,2,2014-09-30,603,1,1,0,0
322581,225,2,2014-09-30,637,1,1,0,0
322582,226,2,2014-09-30,936,1,1,0,0
322583,227,2,2014-09-30,665,1,1,0,0
322584,228,2,2014-09-30,618,1,1,0,0
322585,229,2,2014-09-30,996,1,1,0,0
322586,230,2,2014-09-30,1071,1,1,0,0
322588,233,2,2014-09-30,1175,1,1,0,0
322589,234,2,2014-09-30,1315,1,1,0,0
322590,235,2,2014-09-30,732,1,1,0,0
322591,236,2,2014-09-30,1096,1,1,0,0
322592,237,2,2014-09-30,633,1,1,0,0
322593,238,2,2014-09-30,1426,1,1,0,0
322594,239,2,2014-09-30,501,1,1,0,0
322595,240,2,2014-09-30,506,1,1,0,0
322596,241,2,2014-09-30,834,1,1,0,0
322597,242,2,2014-09-30,465,1,1,0,0
322600,246,2,2014-09-30,1096,1,1,0,0
322601,247,2,2014-09-30,803,1,1,0,0
322602,248,2,2014-09-30,1319,1,1,0,0
322603,249,2,2014-09-30,637,1,1,0,0
322604,250,2,2014-09-30,729,1,1,0,0
322605,251,2,2014-09-30,2696,1,1,0,0
322606,252,2,2014-09-30,972,1,1,0,0
322607,253,2,2014-09-30,895,1,1,0,0
322608,254,2,2014-09-30,337,1,1,0,0
322609,255,2,2014-09-30,662,1,1,0,0
322610,256,2,2014-09-30,1684,1,1,0,0
322611,257,2,2014-09-30,757,1,1,0,0
322612,259,2,2014-09-30,2662,1,1,0,0
322613,260,2,2014-09-30,989,1,1,0,0
322615,262,2,2014-09-30,3169,1,1,0,0
322616,264,2,2014-09-30,1111,1,1,0,0
322617,265,2,2014-09-30,623,1,1,0,0
322619,267,2,2014-09-30,1080,1,1,0,0
322620,268,2,2014-09-30,681,1,1,0,0
322621,269,2,2014-09-30,1706,1,1,0,0
322622,270,2,2014-09-30,1302,1,1,0,0
322624,272,2,2014-09-30,925,1,1,0,0
322625,273,2,2014-09-30,841,1,1,0,0
322629,280,2,2014-09-30,592,1,1,0,0
322630,281,2,2014-09-30,569,1,1,0,0
322631,282,2,2014-09-30,766,1,1,0,0
322632,285,2,2014-09-30,536,1,1,0,0
322633,286,2,2014-09-30,557,1,1,0,0
322634,289,2,2014-09-30,596,1,1,0,0
322637,292,2,2014-09-30,827,1,1,0,0
322639,294,2,2014-09-30,1045,1,1,0,0
322640,295,2,2014-09-30,780,1,1,0,0
322641,296,2,2014-09-30,984,1,1,0,0
322643,299,2,2014-09-30,782,1,1,0,0
322644,300,2,2014-09-30,1145,1,1,0,0
322645,301,2,2014-09-30,672,1,1,0,0
322646,302,2,2014-09-30,333,1,1,0,0
322647,303,2,2014-09-30,814,1,1,0,0
322648,304,2,2014-09-30,1373,1,1,0,0
322649,305,2,2014-09-30,602,1,1,0,0
322651,308,2,2014-09-30,1236,1,1,0,0
322653,310,2,2014-09-30,813,1,1,0,0
322654,311,2,2014-09-30,1039,1,1,0,0
322655,312,2,2014-09-30,587,1,1,0,0
322656,313,2,2014-09-30,857,1,1,0,0
322657,314,2,2014-09-30,720,1,1,0,0
322658,315,2,2014-09-30,539,1,1,0,0
322659,316,2,2014-09-30,1057,1,1,0,0
322660,318,2,2014-09-30,666,1,1,0,0
322663,321,2,2014-09-30,613,1,1,0,0
322664,322,2,2014-09-30,883,1,1,0,0
322665,323,2,2014-09-30,663,1,1,0,0
322667,325,2,2014-09-30,750,1,1,0,0
322668,326,2,2014-09-30,410,1,1,0,0
322669,327,2,2014-09-30,1265,1,1,0,0
322670,328,2,2014-09-30,633,1,1,0,0
322671,329,2,2014-09-30,796,1,1,0,0
322672,330,2,2014-09-30,503,1,1,0,0
322673,331,2,2014-09-30,995,1,1,0,0
322676,334,2,2014-09-30,601,1,1,0,0
322678,336,2,2014-09-30,2243,1,1,0,0
322680,338,2,2014-09-30,818,1,1,0,0
322681,339,2,2014-09-30,714,1,1,0,0
322682,340,2,2014-09-30,812,1,1,0,0
322683,341,2,2014-09-30,920,1,1,0,0
322685,344,2,2014-09-30,1493,1,1,0,0
322686,346,2,2014-09-30,704,1,1,0,0
322688,349,2,2014-09-30,859,1,1,0,0
322689,350,2,2014-09-30,694,1,1,0,0
322690,351,2,2014-09-30,625,1,1,0,0
322691,352,2,2014-09-30,644,1,1,0,0
322692,353,2,2014-09-30,1546,1,1,0,0
322693,354,2,2014-09-30,799,1,1,0,0
322696,357,2,2014-09-30,1343,1,1,0,0
322697,358,2,2014-09-30,1322,1,1,0,0
322698,359,2,2014-09-30,625,1,1,0,0
322699,360,2,2014-09-30,892,1,1,0,0
322700,361,2,2014-09-30,690,1,1,0,0
322703,364,2,2014-09-30,701,1,1,0,0
322705,367,2,2014-09-30,659,1,1,0,0
322707,369,2,2014-09-30,606,1,1,0,0
322708,370,2,2014-09-30,831,1,1,0,0
322709,371,2,2014-09-30,657,1,1,0,0
322711,373,2,2014-09-30,346,1,1,0,0
322712,374,2,2014-09-30,985,1,1,0,0
322713,375,2,2014-09-30,1263,1,1,0,0
322714,376,2,2014-09-30,1131,1,1,0,0
322715,377,2,2014-09-30,1172,1,1,0,0
322716,378,2,2014-09-30,1229,1,1,0,0
322717,379,2,2014-09-30,628,1,1,0,0
322718,380,2,2014-09-30,1621,1,1,0,0
322721,383,2,2014-09-30,2523,1,1,0,0
322722,384,2,2014-09-30,1564,1,1,0,0
322723,386,2,2014-09-30,913,1,1,0,0
322724,387,2,2014-09-30,1411,1,1,0,0
322725,388,2,2014-09-30,1342,1,1,0,0
322726,389,2,2014-09-30,1410,1,1,0,0
322727,390,2,2014-09-30,1215,1,1,0,0
322729,392,2,2014-09-30,900,1,1,0,0
322730,393,2,2014-09-30,713,1,1,0,0
322731,394,2,2014-09-30,688,1,1,0,0
322732,395,2,2014-09-30,631,1,1,0,0
322733,396,2,2014-09-30,1453,1,1,0,0
322734,397,2,2014-09-30,930,1,1,0,0
322735,398,2,2014-09-30,834,1,1,0,0
322736,400,2,2014-09-30,1715,1,1,0,0
322737,401,2,2014-09-30,1038,1,1,0,0
322738,402,2,2014-09-30,725,1,1,0,0
322739,403,2,2014-09-30,887,1,1,0,0
322740,404,2,2014-09-30,693,1,1,0,0
322742,406,2,2014-09-30,562,1,1,0,0
322743,408,2,2014-09-30,471,1,1,0,0
322744,409,2,2014-09-30,758,1,1,0,0
322746,411,2,2014-09-30,787,1,1,0,0
322747,414,2,2014-09-30,547,1,1,0,0
322748,415,2,2014-09-30,550,1,1,0,0
322749,416,2,2014-09-30,1498,1,1,0,0
322750,417,2,2014-09-30,1130,1,1,0,0
322751,418,2,2014-09-30,740,1,1,0,0
322752,419,2,2014-09-30,1153,1,1,0,0
322753,421,2,2014-09-30,1075,1,1,0,0
322754,422,2,2014-09-30,462,1,1,0,0
322755,423,2,2014-09-30,1765,1,1,0,0
322756,424,2,2014-09-30,1045,1,1,0,0
322757,425,2,2014-09-30,590,1,1,0,0
322758,426,2,2014-09-30,771,1,1,0,0
322760,432,2,2014-09-30,1686,1,1,0,0
322761,433,2,2014-09-30,797,1,1,0,0
322762,435,2,2014-09-30,441,1,1,0,0
322765,438,2,2014-09-30,808,1,1,0,0
322766,439,2,2014-09-30,1151,1,1,0,0
322767,440,2,2014-09-30,684,1,1,0,0
322768,441,2,2014-09-30,799,1,1,0,0
322769,442,2,2014-09-30,501,1,1,0,0
322770,443,2,2014-09-30,596,1,1,0,0
322771,444,2,2014-09-30,1324,1,1,0,0
322772,445,2,2014-09-30,1258,1,1,0,0
322773,446,2,2014-09-30,827,1,1,0,0
322774,447,2,2014-09-30,630,1,1,0,0
322775,448,2,2014-09-30,857,1,1,0,0
322776,449,2,2014-09-30,1934,1,1,0,0
322777,450,2,2014-09-30,1102,1,1,0,0
322778,451,2,2014-09-30,630,1,1,0,0
322780,453,2,2014-09-30,973,1,1,0,0
322782,455,2,2014-09-30,451,1,1,0,0
322783,456,2,2014-09-30,1129,1,1,0,0
322784,458,2,2014-09-30,712,1,1,0,0
322786,460,2,2014-09-30,469,1,1,0,0
322787,461,2,2014-09-30,576,1,1,0,0
322788,462,2,2014-09-30,823,1,1,0,0
322789,463,2,2014-09-30,1145,1,1,0,0
322790,464,2,2014-09-30,1142,1,1,0,0
322793,467,2,2014-09-30,1916,1,1,0,0
322795,469,2,2014-09-30,1767,1,1,0,0
322796,470,2,2014-09-30,2385,1,1,0,0
322797,472,2,2014-09-30,741,1,1,0,0
322798,473,2,2014-09-30,614,1,1,0,0
322799,474,2,2014-09-30,927,1,1,0,0
322800,475,2,2014-09-30,1036,1,1,0,0
322801,476,2,2014-09-30,796,1,1,0,0
322804,480,2,2014-09-30,826,1,1,0,0
322805,481,2,2014-09-30,583,1,1,0,0
322806,482,2,2014-09-30,948,1,1,0,0
322807,483,2,2014-09-30,1103,1,1,0,0
322808,484,2,2014-09-30,680,1,1,0,0
322809,486,2,2014-09-30,745,1,1,0,0
322810,487,2,2014-09-30,876,1,1,0,0
322811,488,2,2014-09-30,397,1,1,0,0
322812,489,2,2014-09-30,1100,1,1,0,0
322813,491,2,2014-09-30,604,1,1,0,0
322814,493,2,2014-09-30,1111,1,1,0,0
322815,494,2,2014-09-30,1345,1,1,0,0
322817,496,2,2014-09-30,928,1,1,0,0
322818,497,2,2014-09-30,1213,1,1,0,0
322819,499,2,2014-09-30,721,1,1,0,0
322820,502,2,2014-09-30,1993,1,1,0,0
322821,503,2,2014-09-30,666,1,1,0,0
322822,504,2,2014-09-30,1200,1,1,0,0
322823,505,2,2014-09-30,648,1,1,0,0
322824,506,2,2014-09-30,1018,1,1,0,0
322826,508,2,2014-09-30,986,1,1,0,0
322827,509,2,2014-09-30,769,1,1,0,0
322828,510,2,2014-09-30,1042,1,1,0,0
322829,511,2,2014-09-30,882,1,1,0,0
322830,513,2,2014-09-30,2248,1,1,0,0
322831,515,2,2014-09-30,765,1,1,0,0
322832,516,2,2014-09-30,1002,1,1,0,0
322833,517,2,2014-09-30,867,1,1,0,0
322834,519,2,2014-09-30,667,1,1,0,0
322836,521,2,2014-09-30,431,1,1,0,0
322837,523,2,2014-09-30,1740,1,1,0,0
322838,524,2,2014-09-30,937,1,1,0,0
322839,525,2,2014-09-30,903,1,1,0,0
322841,527,2,2014-09-30,1189,1,1,0,0
322842,528,2,2014-09-30,1306,1,1,0,0
322847,533,2,2014-09-30,1002,1,1,0,0
322849,536,2,2014-09-30,1231,1,1,0,0
322851,538,2,2014-09-30,625,1,1,0,0
322852,541,2,2014-09-30,1086,1,1,0,0
322853,543,2,2014-09-30,352,1,1,0,0
322855,545,2,2014-09-30,1339,1,1,0,0
322857,548,2,2014-09-30,472,1,1,0,0
322859,550,2,2014-09-30,563,1,1,0,0
322860,551,2,2014-09-30,1308,1,1,0,0
322861,552,2,2014-09-30,1048,1,1,0,0
322862,553,2,2014-09-30,675,1,1,0,0
322863,554,2,2014-09-30,664,1,1,0,0
322864,556,2,2014-09-30,1132,1,1,0,0
322865,557,2,2014-09-30,775,1,1,0,0
322866,558,2,2014-09-30,503,1,1,0,0
322867,559,2,2014-09-30,1113,1,1,0,0
322868,560,2,2014-09-30,1877,1,1,0,0
322869,561,2,2014-09-30,760,1,1,0,0
322871,563,2,2014-09-30,936,1,1,0,0
322872,564,2,2014-09-30,578,1,1,0,0
322873,565,2,2014-09-30,985,1,1,0,0
322874,566,2,2014-09-30,724,1,1,0,0
322875,567,2,2014-09-30,920,1,1,0,0
322876,568,2,2014-09-30,486,1,1,0,0
322877,569,2,2014-09-30,704,1,1,0,0
322878,570,2,2014-09-30,839,1,1,0,0
322879,572,2,2014-09-30,682,1,1,0,0
322880,574,2,2014-09-30,725,1,1,0,0
322881,576,2,2014-09-30,1159,1,1,0,0
322882,577,2,2014-09-30,550,1,1,0,0
322883,578,2,2014-09-30,882,1,1,0,0
322884,579,2,2014-09-30,1113,1,1,0,0
322885,580,2,2014-09-30,1654,1,1,0,0
322886,581,2,2014-09-30,773,1,1,0,0
322888,583,2,2014-09-30,539,1,1,0,0
322889,584,2,2014-09-30,477,1,1,0,0
322890,585,2,2014-09-30,935,1,1,0,0
322892,588,2,2014-09-30,729,1,1,0,0
322893,589,2,2014-09-30,688,1,1,0,0
322895,591,2,2014-09-30,598,1,1,0,0
322896,592,2,2014-09-30,718,1,1,0,0
322897,593,2,2014-09-30,1228,1,1,0,0
322900,596,2,2014-09-30,766,1,1,0,0
322902,599,2,2014-09-30,910,1,1,0,0
322903,600,2,2014-09-30,710,1,1,0,0
322904,601,2,2014-09-30,509,1,1,0,0
322906,603,2,2014-09-30,1295,1,1,0,0
322907,605,2,2014-09-30,668,1,1,0,0
322909,607,2,2014-09-30,666,1,1,0,0
322910,608,2,2014-09-30,1542,1,1,0,0
322911,609,2,2014-09-30,623,1,1,0,0
322912,610,2,2014-09-30,665,1,1,0,0
322913,613,2,2014-09-30,1149,1,1,0,0
322916,616,2,2014-09-30,977,1,1,0,0
322917,617,2,2014-09-30,866,1,1,0,0
322921,623,2,2014-09-30,1191,1,1,0,0
322922,624,2,2014-09-30,787,1,1,0,0
322923,625,2,2014-09-30,756,1,1,0,0
322924,626,2,2014-09-30,918,1,1,0,0
322926,628,2,2014-09-30,1095,1,1,0,0
322927,630,2,2014-09-30,1053,1,1,0,0
322929,632,2,2014-09-30,922,1,1,0,0
322930,634,2,2014-09-30,823,1,1,0,0
322931,635,2,2014-09-30,896,1,1,0,0
322932,639,2,2014-09-30,621,1,1,0,0
322933,640,2,2014-09-30,1077,1,1,0,0
322934,641,2,2014-09-30,662,1,1,0,0
322935,642,2,2014-09-30,544,1,1,0,0
322936,643,2,2014-09-30,1313,1,1,0,0
322937,645,2,2014-09-30,1521,1,1,0,0
322938,647,2,2014-09-30,877,1,1,0,0
322939,648,2,2014-09-30,646,1,1,0,0
322940,649,2,2014-09-30,485,1,1,0,0
322941,651,2,2014-09-30,1016,1,1,0,0
322942,652,2,2014-09-30,812,1,1,0,0
322944,654,2,2014-09-30,888,1,1,0,0
322945,655,2,2014-09-30,955,1,1,0,0
322946,656,2,2014-09-30,545,1,1,0,0
322947,657,2,2014-09-30,1220,1,1,0,0
322948,658,2,2014-09-30,728,1,1,0,0
322949,659,2,2014-09-30,759,1,1,0,0
322950,661,2,2014-09-30,721,1,1,0,0
322952,663,2,2014-09-30,813,1,1,0,0
322953,664,2,2014-09-30,772,1,1,0,0
322954,665,2,2014-09-30,1507,1,1,0,0
322955,666,2,2014-09-30,756,1,1,0,0
322956,667,2,2014-09-30,866,1,1,0,0
322957,668,2,2014-09-30,1364,1,1,0,0
322958,672,2,2014-09-30,1481,1,1,0,0
322959,673,2,2014-09-30,664,1,1,0,0
322960,674,2,2014-09-30,1305,1,1,0,0
322961,675,2,2014-09-30,624,1,1,0,0
322962,676,2,2014-09-30,1872,1,1,0,0
322965,680,2,2014-09-30,846,1,1,0,0
322966,681,2,2014-09-30,651,1,1,0,0
322967,682,2,2014-09-30,2163,1,1,0,0
322969,685,2,2014-09-30,784,1,1,0,0
322970,686,2,2014-09-30,1019,1,1,0,0
322971,687,2,2014-09-30,864,1,1,0,0
322972,688,2,2014-09-30,578,1,1,0,0
322973,689,2,2014-09-30,762,1,1,0,0
322974,690,2,2014-09-30,968,1,1,0,0
322975,691,2,2014-09-30,769,1,1,0,0
322976,692,2,2014-09-30,1035,1,1,0,0
322977,693,2,2014-09-30,785,1,1,0,0
322978,695,2,2014-09-30,791,1,1,0,0
322979,696,2,2014-09-30,1242,1,1,0,0
322980,697,2,2014-09-30,1381,1,1,0,0
322981,698,2,2014-09-30,2168,1,1,0,0
322982,699,2,2014-09-30,1167,1,1,0,0
322983,700,2,2014-09-30,679,1,1,0,0
322984,703,2,2014-09-30,426,1,1,0,0
322985,704,2,2014-09-30,1266,1,1,0,0
322987,707,2,2014-09-30,1268,1,1,0,0
322988,708,2,2014-09-30,0,0,1,0,0
322989,709,2,2014-09-30,1676,1,1,0,0
322991,714,2,2014-09-30,389,1,1,0,0
322992,715,2,2014-09-30,878,1,1,0,0
322994,718,2,2014-09-30,1026,1,1,0,0
322995,720,2,2014-09-30,861,1,1,0,0
322996,721,2,2014-09-30,729,1,1,0,0
322997,722,2,2014-09-30,1806,1,1,0,0
322999,724,2,2014-09-30,823,1,1,0,0
323001,726,2,2014-09-30,1297,1,1,0,0
323002,727,2,2014-09-30,510,1,1,0,0
323005,730,2,2014-09-30,1036,1,1,0,0
323006,731,2,2014-09-30,1209,1,1,0,0
323008,733,2,2014-09-30,3535,1,1,0,0
323009,734,2,2014-09-30,499,1,1,0,0
323010,735,2,2014-09-30,700,1,1,0,0
323012,738,2,2014-09-30,748,1,1,0,0
323013,740,2,2014-09-30,556,1,1,0,0
323014,741,2,2014-09-30,1278,1,1,0,0
323016,743,2,2014-09-30,597,1,1,0,0
323017,745,2,2014-09-30,1081,1,1,0,0
323018,746,2,2014-09-30,629,1,1,0,0
323019,747,2,2014-09-30,901,1,1,0,0
323020,748,2,2014-09-30,706,1,1,0,0
323021,749,2,2014-09-30,861,1,1,0,0
323022,751,2,2014-09-30,582,1,1,0,0
323023,752,2,2014-09-30,616,1,1,0,0
323024,753,2,2014-09-30,946,1,1,0,0
323025,754,2,2014-09-30,1064,1,1,0,0
323026,755,2,2014-09-30,1048,1,1,0,0
323028,757,2,2014-09-30,646,1,1,0,0
323030,759,2,2014-09-30,1009,1,1,0,0
323032,761,2,2014-09-30,1295,1,1,0,0
323033,762,2,2014-09-30,471,1,1,0,0
323034,763,2,2014-09-30,625,1,1,0,0
323035,764,2,2014-09-30,509,1,1,0,0
323036,765,2,2014-09-30,970,1,1,0,0
323037,767,2,2014-09-30,601,1,1,0,0
323038,768,2,2014-09-30,1811,1,1,0,0
323039,769,2,2014-09-30,3646,1,1,0,0
323040,770,2,2014-09-30,904,1,1,0,0
323041,772,2,2014-09-30,581,1,1,0,0
323042,773,2,2014-09-30,919,1,1,0,0
323043,774,2,2014-09-30,733,1,1,0,0
323044,776,2,2014-09-30,762,1,1,0,0
323045,777,2,2014-09-30,392,1,1,0,0
323046,779,2,2014-09-30,1005,1,1,0,0
323047,780,2,2014-09-30,1262,1,1,0,0
323048,781,2,2014-09-30,884,1,1,0,0
323052,785,2,2014-09-30,684,1,1,0,0
323053,786,2,2014-09-30,708,1,1,0,0
323054,787,2,2014-09-30,1387,1,1,0,0
323055,788,2,2014-09-30,1994,1,1,0,0
323056,789,2,2014-09-30,521,1,1,0,0
323057,790,2,2014-09-30,741,1,1,0,0
323058,791,2,2014-09-30,1112,1,1,0,0
323059,792,2,2014-09-30,811,1,1,0,0
323061,794,2,2014-09-30,529,1,1,0,0
323062,795,2,2014-09-30,641,1,1,0,0
323063,796,2,2014-09-30,841,1,1,0,0
323064,798,2,2014-09-30,1174,1,1,0,0
323067,801,2,2014-09-30,617,1,1,0,0
323068,802,2,2014-09-30,568,1,1,0,0
323069,803,2,2014-09-30,544,1,1,0,0
323070,807,2,2014-09-30,1123,1,1,0,0
323071,808,2,2014-09-30,730,1,1,0,0
323072,809,2,2014-09-30,973,1,1,0,0
323073,810,2,2014-09-30,528,1,1,0,0
323076,813,2,2014-09-30,705,1,1,0,0
323077,814,2,2014-09-30,891,1,1,0,0
323078,816,2,2014-09-30,944,1,1,0,0
323079,817,2,2014-09-30,3234,1,1,0,0
323080,818,2,2014-09-30,798,1,1,0,0
323081,819,2,2014-09-30,673,1,1,0,0
323082,821,2,2014-09-30,1216,1,1,0,0
323083,822,2,2014-09-30,669,1,1,0,0
323085,824,2,2014-09-30,1127,1,1,0,0
323086,826,2,2014-09-30,903,1,1,0,0
323087,827,2,2014-09-30,1711,1,1,0,0
323089,829,2,2014-09-30,847,1,1,0,0
323090,830,2,2014-09-30,753,1,1,0,0
323092,832,2,2014-09-30,587,1,1,0,0
323093,833,2,2014-09-30,544,1,1,0,0
323094,834,2,2014-09-30,800,1,1,0,0
323095,835,2,2014-09-30,824,1,1,0,0
323096,836,2,2014-09-30,926,1,1,0,0
323097,837,2,2014-09-30,616,1,1,0,0
323098,838,2,2014-09-30,931,1,1,0,0
323099,839,2,2014-09-30,855,1,1,0,0
323100,840,2,2014-09-30,1240,1,1,0,0
323101,841,2,2014-09-30,507,1,1,0,0
323103,844,2,2014-09-30,581,1,1,0,0
323105,846,2,2014-09-30,1154,1,1,0,0
323106,847,2,2014-09-30,1252,1,1,0,0
323109,850,2,2014-09-30,884,1,1,0,0
323110,852,2,2014-09-30,748,1,1,0,0
323111,853,2,2014-09-30,1202,1,1,0,0
323112,854,2,2014-09-30,841,1,1,0,0
323113,855,2,2014-09-30,784,1,1,0,0
323114,856,2,2014-09-30,1059,1,1,0,0
323115,857,2,2014-09-30,920,1,1,0,0
323116,860,2,2014-09-30,898,1,1,0,0
323117,861,2,2014-09-30,668,1,1,0,0
323118,862,2,2014-09-30,1326,1,1,0,0
323119,863,2,2014-09-30,1158,1,1,0,0
