Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
172,a,a,110.0,,,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,a,a,350.0,12.0,2012.0,False,,,
174,a,a,13090.0,,,True,22.0,2012.0,"Jan,Apr,Jul,Oct"
176,a,a,3770.0,,,False,,,
177,a,a,1250.0,2.0,2004.0,True,5.0,2013.0,"Feb,May,Aug,Nov"
178,d,a,1710.0,,,False,,,
180,d,a,5800.0,9.0,2010.0,False,,,
181,a,a,12610.0,3.0,2013.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,d,c,1390.0,,,True,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,a,a,9670.0,,,False,,,
184,d,c,3560.0,,,False,,,
186,a,a,290.0,10.0,2011.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,a,c,19360.0,,,False,,,
188,d,a,850.0,,,True,18.0,2011.0,"Feb,May,Aug,Nov"
189,d,a,5760.0,7.0,2014.0,False,,,
190,a,a,1470.0,12.0,2006.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,a,a,1100.0,8.0,2013.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,d,c,2770.0,3.0,2008.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
194,d,c,16970.0,,,True,5.0,2013.0,"Feb,May,Aug,Nov"
195,a,c,220.0,,,False,,,
196,c,a,3850.0,11.0,2005.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,c,a,4210.0,3.0,2015.0,False,,,
198,a,a,290.0,9.0,2002.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
201,d,a,20260.0,,,True,18.0,2014.0,"Mar,Jun,Sept,Dec"
202,d,c,5140.0,5.0,2010.0,False,,,
203,c,c,490.0,11.0,2002.0,False,,,
204,a,a,5630.0,12.0,2002.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
205,a,a,110.0,12.0,2007.0,False,,,
206,a,c,380.0,,,True,14.0,2012.0,"Jan,Apr,Jul,Oct"
207,a,a,6870.0,,,False,,,
208,c,a,300.0,4.0,2006.0,False,,,
212,a,c,15050.0,9.0,2008.0,False,,,
213,d,c,4030.0,3.0,2014.0,True,1.0,2014.0,"Jan,Apr,Jul,Oct"
214,d,a,8650.0,7.0,2013.0,True,10.0,2014.0,"Jan,Apr,Jul,Oct"
215,d,a,150.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
216,c,a,190.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
217,c,a,3150.0,,,False,,,
218,a,c,640.0,,,True,9.0,2011.0,"Mar,Jun,Sept,Dec"
220,a,a,1000.0,9.0,2008.0,False,,,
222,a,a,2170.0,11.0,2008.0,False,,,
223,d,c,2920.0,10.0,1995.0,True,27.0,2011.0,"Jan,Apr,Jul,Oct"
224,d,c,7930.0,,,True,1.0,2013.0,"Jan,Apr,Jul,Oct"
225,d,a,10180.0,5.0,2015.0,False,,,
226,a,a,450.0,,,False,,,
227,a,a,2370.0,,,False,,,
228,d,c,10800.0,,,True,18.0,2011.0,"Feb,May,Aug,Nov"
229,d,c,17410.0,4.0,2007.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
230,d,c,6680.0,9.0,2013.0,False,,,
231,d,c,3840.0,10.0,2008.0,True,39.0,2010.0,"Feb,May,Aug,Nov"
233,a,a,1890.0,,,False,,,
234,d,a,4370.0,,,False,,,
235,a,a,5710.0,3.0,2012.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
236,a,a,1000.0,11.0,2007.0,False,,,
237,a,a,1420.0,11.0,2007.0,False,,,
238,a,a,320.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
239,d,c,610.0,,,False,,,
240,a,a,1110.0,5.0,2009.0,False,,,
241,d,c,780.0,,,False,,,
242,d,a,6880.0,9.0,2001.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
243,a,a,310.0,,,True,5.0,2013.0,"Feb,May,Aug,Nov"
246,c,a,4660.0,4.0,2013.0,False,,,
247,d,c,70.0,11.0,2010.0,True,5.0,2013.0,"Feb,May,Aug,Nov"
248,a,c,340.0,9.0,2012.0,True,40.0,2012.0,"Jan,Apr,Jul,Oct"
249,d,c,18010.0,9.0,2014.0,False,,,
250,d,a,3520.0,,,True,18.0,2012.0,"Feb,May,Aug,Nov"
251,a,c,340.0,,,False,,,
252,d,c,22330.0,,,True,5.0,2010.0,"Feb,May,Aug,Nov"
253,a,c,250.0,,,True,5.0,2013.0,"Feb,May,Aug,Nov"
254,d,a,330.0,3.0,2008.0,True,1.0,2012.0,"Mar,Jun,Sept,Dec"
255,c,c,4630.0,3.0,2011.0,True,35.0,2011.0,"Feb,May,Aug,Nov"
256,a,c,80.0,9.0,2005.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
257,a,a,420.0,12.0,2012.0,False,,,
258,a,a,27190.0,7.0,2010.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
259,b,b,210.0,,,False,,,
260,a,a,540.0,10.0,2011.0,False,,,
262,b,a,1180.0,5.0,2013.0,False,,,
263,a,c,1140.0,5.0,2013.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
264,a,a,180.0,3.0,2014.0,False,,,
265,a,a,4580.0,,,True,14.0,2015.0,"Jan,Apr,Jul,Oct"
267,c,a,2460.0,1.0,2012.0,False,,,
268,a,a,4520.0,2.0,2014.0,False,,,
269,a,c,60.0,6.0,2015.0,False,,,
270,a,a,1450.0,7.0,2014.0,False,,,
272,a,a,16180.0,7.0,2003.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
273,a,c,8480.0,,,False,,,
277,d,c,7840.0,,,True,31.0,2009.0,"Feb,May,Aug,Nov"
279,d,c,2320.0,,,True,40.0,2012.0,"Jan,Apr,Jul,Oct"
280,d,c,18640.0,9.0,2013.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
281,d,c,6970.0,9.0,2011.0,False,,,
282,a,a,1220.0,12.0,2010.0,False,,,
283,a,a,2260.0,,,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
284,d,a,1290.0,,,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
285,a,a,2410.0,,,False,,,
286,a,a,1460.0,4.0,2015.0,False,,,
287,c,a,2740.0,5.0,2009.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
288,d,a,800.0,,,True,14.0,2011.0,"Mar,Jun,Sept,Dec"
289,d,a,6540.0,12.0,2007.0,False,,,
292,a,a,1100.0,6.0,2009.0,False,,,
294,a,a,3150.0,5.0,2005.0,False,,,
295,a,a,210.0,11.0,2000.0,True,36.0,2013.0,"Mar,Jun,Sept,Dec"
296,a,a,9580.0,5.0,2007.0,True,45.0,2014.0,"Feb,May,Aug,Nov"
298,d,a,19840.0,7.0,2009.0,False,,,
299,d,c,38630.0,9.0,2012.0,False,,,
300,a,c,120.0,4.0,2009.0,True,1.0,2012.0,"Jan,Apr,Jul,Oct"
301,a,c,4510.0,3.0,2015.0,False,,,
302,d,c,2190.0,12.0,2007.0,True,9.0,2011.0,"Mar,Jun,Sept,Dec"
303,a,a,15430.0,11.0,2012.0,True,18.0,2011.0,"Feb,May,Aug,Nov"
304,a,a,1950.0,7.0,2015.0,False,,,
305,c,c,2470.0,2.0,2005.0,True,31.0,2013.0,"Mar,Jun,Sept,Dec"
306,a,a,5100.0,4.0,2007.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
308,a,a,1070.0,12.0,2006.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
310,a,c,2290.0,,,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
311,a,c,680.0,7.0,2005.0,False,,,
312,d,a,11300.0,3.0,2012.0,False,,,
313,d,c,14160.0,,,False,,,
314,a,a,3560.0,10.0,2001.0,True,31.0,2013.0,"Feb,May,Aug,Nov"
315,a,c,38710.0,4.0,2013.0,False,,,
316,d,a,9000.0,8.0,2001.0,False,,,
317,d,a,3140.0,7.0,2013.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
318,d,c,32330.0,3.0,2014.0,False,,,
321,c,c,8140.0,11.0,2013.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
322,a,a,17500.0,4.0,2001.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
323,d,c,8400.0,4.0,2012.0,True,5.0,2013.0,"Feb,May,Aug,Nov"
325,a,c,350.0,3.0,2011.0,True,22.0,2011.0,"Feb,May,Aug,Nov"
326,d,a,10070.0,5.0,2015.0,True,31.0,2013.0,"Feb,May,Aug,Nov"
327,c,c,1390.0,12.0,2004.0,False,,,
328,a,a,3130.0,7.0,2002.0,False,,,
329,a,a,1310.0,6.0,1990.0,True,22.0,2012.0,"Mar,Jun,Sept,Dec"
330,a,c,370.0,,,True,22.0,2012.0,"Mar,Jun,Sept,Dec"
331,a,c,670.0,,,True,14.0,2015.0,"Jan,Apr,Jul,Oct"
334,d,c,4040.0,8.0,2008.0,True,18.0,2013.0,"Mar,Jun,Sept,Dec"
336,a,a,190.0,7.0,2014.0,False,,,
338,a,c,1590.0,,,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
339,a,c,2280.0,,,True,10.0,2013.0,"Mar,Jun,Sept,Dec"
340,a,c,8080.0,,,False,,,
341,a,a,190.0,9.0,2011.0,False,,,
342,d,c,15770.0,,,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
344,a,c,300.0,4.0,2011.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
346,a,c,8090.0,,,False,,,
348,a,a,16490.0,,,True,22.0,2012.0,"Jan,Apr,Jul,Oct"
349,c,c,1490.0,4.0,2009.0,False,,,
350,d,a,8880.0,,,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
351,a,a,5290.0,11.0,2012.0,True,5.0,2013.0,"Feb,May,Aug,Nov"
352,d,c,6360.0,,,True,40.0,2012.0,"Mar,Jun,Sept,Dec"
353,b,b,900.0,,,True,14.0,2013.0,"Feb,May,Aug,Nov"
354,d,c,1500.0,10.0,2005.0,False,,,
357,a,a,2060.0,10.0,2008.0,False,,,
358,a,a,2890.0,10.0,2003.0,False,,,
359,d,c,4370.0,,,False,,,
360,a,a,2040.0,6.0,2007.0,False,,,
361,c,c,4490.0,5.0,2014.0,True,5.0,2013.0,"Feb,May,Aug,Nov"
364,a,c,13620.0,,,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
365,c,a,2410.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
367,d,c,2640.0,9.0,2012.0,False,,,
369,d,c,5870.0,4.0,2014.0,False,,,
370,d,a,8250.0,10.0,2000.0,True,31.0,2009.0,"Jan,Apr,Jul,Oct"
371,d,c,1970.0,7.0,2009.0,True,45.0,2014.0,"Feb,May,Aug,Nov"
373,d,c,11120.0,,,True,22.0,2012.0,"Jan,Apr,Jul,Oct"
374,a,a,1150.0,9.0,2007.0,False,,,
375,a,c,15710.0,2.0,2013.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
376,a,a,160.0,8.0,2012.0,False,,,
377,a,c,100.0,6.0,2010.0,True,18.0,2010.0,"Feb,May,Aug,Nov"
378,a,c,2140.0,8.0,2012.0,False,,,
379,d,a,6630.0,,,False,,,
380,a,a,2240.0,5.0,2013.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
383,a,c,350.0,,,False,,,
384,a,c,130.0,,,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
385,d,a,4580.0,9.0,2007.0,False,,,
386,d,c,1460.0,4.0,2014.0,True,31.0,2013.0,"Jan,Apr,Jul,Oct"
387,c,a,210.0,,,True,36.0,2013.0,"Mar,Jun,Sept,Dec"
388,a,a,2260.0,,,False,,,
389,a,c,6690.0,8.0,2011.0,False,,,
390,a,c,1600.0,4.0,2009.0,False,,,
392,a,a,2120.0,,,False,,,
393,d,c,4820.0,3.0,2008.0,False,,,
394,d,a,10850.0,,,False,,,
395,a,a,3620.0,2.0,2013.0,False,,,
396,a,c,23130.0,,,False,,,
397,a,c,130.0,,,True,27.0,2013.0,"Feb,May,Aug,Nov"
398,c,c,1540.0,,,True,1.0,2012.0,"Jan,Apr,Jul,Oct"
400,a,a,70.0,11.0,2004.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
401,a,c,9200.0,10.0,2009.0,True,14.0,2012.0,"Jan,Apr,Jul,Oct"
402,c,c,5830.0,9.0,2011.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
403,a,a,4970.0,7.0,2015.0,False,,,
404,a,c,1420.0,,,True,10.0,2013.0,"Mar,Jun,Sept,Dec"
406,d,c,8240.0,3.0,2001.0,True,10.0,2013.0,"Feb,May,Aug,Nov"
407,a,a,5890.0,10.0,2003.0,True,14.0,2011.0,"Feb,May,Aug,Nov"
408,c,a,1560.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
409,d,c,840.0,,,True,1.0,2013.0,"Jan,Apr,Jul,Oct"
411,d,c,8460.0,,,False,,,
413,a,c,760.0,9.0,2014.0,False,,,
414,d,c,6210.0,,,True,1.0,2013.0,"Jan,Apr,Jul,Oct"
415,d,c,6910.0,4.0,2005.0,False,,,
416,a,c,4650.0,6.0,2014.0,False,,,
417,a,c,840.0,,,True,10.0,2014.0,"Jan,Apr,Jul,Oct"
418,a,a,1060.0,5.0,2009.0,True,27.0,2011.0,"Feb,May,Aug,Nov"
419,c,a,1620.0,9.0,2009.0,False,,,
420,d,c,250.0,,,True,27.0,2012.0,"Jan,Apr,Jul,Oct"
421,c,c,3530.0,6.0,2012.0,True,35.0,2012.0,"Mar,Jun,Sept,Dec"
422,a,c,2880.0,,,False,,,
423,b,a,1270.0,5.0,2014.0,False,,,
424,d,c,1250.0,,,True,40.0,2011.0,"Jan,Apr,Jul,Oct"
425,d,c,1460.0,,,False,,,
426,a,a,250.0,,,False,,,
427,a,c,70.0,7.0,2005.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
428,d,a,2960.0,12.0,2014.0,True,23.0,2015.0,"Mar,Jun,Sept,Dec"
432,a,a,810.0,5.0,2013.0,False,,,
433,a,c,30030.0,11.0,2010.0,False,,,
434,a,a,13020.0,8.0,2003.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
435,a,a,910.0,,,False,,,
438,d,c,1110.0,,,True,40.0,2012.0,"Jan,Apr,Jul,Oct"
439,a,a,1350.0,9.0,2009.0,False,,,
440,d,a,3900.0,4.0,2005.0,True,45.0,2009.0,"Feb,May,Aug,Nov"
441,d,a,2530.0,,,False,,,
442,c,a,500.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
443,d,a,11400.0,12.0,2005.0,False,,,
444,c,a,1700.0,11.0,2009.0,False,,,
445,a,a,240.0,,,False,,,
446,a,a,340.0,10.0,2000.0,True,31.0,2013.0,"Feb,May,Aug,Nov"
447,a,c,1510.0,9.0,2013.0,False,,,
448,a,c,3970.0,9.0,2009.0,False,,,
449,a,c,120.0,12.0,2014.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
450,c,a,5780.0,11.0,1994.0,True,10.0,2014.0,"Mar,Jun,Sept,Dec"
451,a,a,2460.0,4.0,2009.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
453,a,c,75860.0,,,False,,,
455,d,c,7660.0,9.0,2010.0,False,,,
456,a,c,140.0,,,False,,,
457,d,c,13140.0,,,True,31.0,2013.0,"Jan,Apr,Jul,Oct"
458,c,a,3390.0,,,False,,,
460,a,a,34050.0,4.0,2008.0,False,,,
461,d,c,1790.0,7.0,2013.0,True,40.0,2013.0,"Jan,Apr,Jul,Oct"
462,a,a,44320.0,8.0,2008.0,False,,,
463,a,a,4160.0,,,False,,,
464,c,a,520.0,3.0,2009.0,False,,,
467,a,c,20390.0,4.0,2008.0,False,,,
469,c,c,710.0,9.0,2005.0,False,,,
470,a,c,50.0,,,False,,,
471,d,a,5300.0,,,True,45.0,2009.0,"Feb,May,Aug,Nov"
472,c,c,5030.0,8.0,2011.0,False,,,
473,a,a,50.0,,,False,,,
474,c,a,14810.0,,,True,14.0,2011.0,"Mar,Jun,Sept,Dec"
475,a,a,140.0,9.0,2005.0,False,,,
476,d,a,8300.0,9.0,2006.0,False,,,
477,d,a,770.0,7.0,2010.0,True,35.0,2010.0,"Jan,Apr,Jul,Oct"
480,a,a,300.0,11.0,2012.0,False,,,
481,c,c,7470.0,,,True,44.0,2012.0,"Feb,May,Aug,Nov"
482,c,a,2550.0,10.0,2005.0,False,,,
483,a,c,2310.0,9.0,2011.0,True,13.0,2010.0,"Jan,Apr,Jul,Oct"
484,a,c,14300.0,3.0,2011.0,False,,,
485,d,c,3270.0,,,True,22.0,2012.0,"Jan,Apr,Jul,Oct"
486,a,a,2320.0,,,True,31.0,2013.0,"Jan,Apr,Jul,Oct"
487,d,c,2180.0,9.0,2012.0,True,40.0,2012.0,"Jan,Apr,Jul,Oct"
488,a,c,2890.0,4.0,2014.0,False,,,
489,a,a,14960.0,11.0,2013.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
490,a,a,660.0,4.0,2013.0,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
491,d,c,4680.0,,,True,22.0,2012.0,"Mar,Jun,Sept,Dec"
492,a,a,1740.0,3.0,2008.0,True,40.0,2012.0,"Jan,Apr,Jul,Oct"
493,d,c,1150.0,,,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
494,b,a,1260.0,6.0,2011.0,False,,,
496,d,c,2780.0,6.0,2015.0,False,,,
497,a,c,1610.0,,,False,,,
498,a,a,990.0,,,True,40.0,2014.0,"Jan,Apr,Jul,Oct"
499,c,c,450.0,,,True,5.0,2013.0,"Feb,May,Aug,Nov"
500,d,c,10690.0,9.0,2007.0,True,5.0,2013.0,"Jan,Apr,Jul,Oct"
501,a,c,1620.0,9.0,2006.0,False,,,
502,a,a,220.0,2.0,2002.0,True,37.0,2009.0,"Jan,Apr,Jul,Oct"
503,d,c,13080.0,9.0,2006.0,True,14.0,2011.0,"Jan,Apr,Jul,Oct"
504,c,c,820.0,,,False,,,
505,a,a,350.0,,,True,5.0,2013.0,"Feb,May,Aug,Nov"
